Entity_VI,Entity_EN
người săn,chaser
sản phẩm chất lượng,quality products
thác nước nguyên,Raw waterfall
lần nấu,cooking times
ngôi làng dân tộc thiểu số,ethnic minority village
phố văn hóa,cultural street
nhiếp ảnh gia kỹ thuật số,digital photographer
thác đỗ,waterfall
môn bơi lội câu cá,swimming and fishing
chuyển tranh,transfer picture
trải nghiệm khi,experience when
người đạp thuyền,people riding boats
hang múa tràng an,Trang An dancing cave
chân của bạn,your leg
thịt heo bằm,chopped pork
khu bảo tồn pù luông,Pu Luong conservation area
người xem,viewers
bữa ăn việt nam,Vietnamese meal
thực phẩm chăn,blanket food
tòa tháp bitexco,bitexco tower
cây cầu dây văng,cable-stayed bridge
đồng bằng sông,river delta
sò điệp nghêu,Clam scallops
gọn gàng,succinct
cầu khóa,lock bridge
hoàng hoa,royal flower
hành trình tom,tom journey
bảo trì thô sơ,rudimentary maintenance
cầu trông,look forward
tấm thảm văn hóa,cultural tapestry
luật giao thông,traffic laws
phần ăn,portion
cặp khuy măng sét,pair of cufflinks
mất vệ sinh,UN safe
vấn đề,problem
môi trường tự,natural environment
chuyến du lịch trăng mật,honeymoon trip
khu phố pháp,French Quarter
của quán,of the restaurant
quần áo vải,linen
áo sơ mi cà vạt,tie shirt
mặt hàng vải,fabric items
phong nah,phong nah
móng gel,gel nails
dâu tằm,Mulberry
làng cát cát,sandy village
trải nghiệm nấu nướng,cooking experience
chuyến đi đạp xe,cycling trip
vận may,luck
bằng du lịch,by tourism
chuyến đi thú,animal trip
coca,coca
chuyến đi xe đạp xuyên,cross bike trip
chuyến xe điện,tram ride
day tour,day tour
linh an,Security components
trại nuôi cá nhỏ,small fish farm
nhiếp ảnh kỹ thuật số,digital photography
trải nghiệm sinh vật phù du,experience plankton
chuyến thăm hà nội,visit to Hanoi
​​thảm kịch,tragedy
diễn đàn,Forum
chuyến đi ngắn,short trip
kiểu ẩm thực,culinary style
tuần dương,cruiser
but,but
cat ba kayak,cat ba kayak
cá mập,shark
trị liệu rất am,The therapist is very am
giáng sinh,Christmas
ninh vân,Ninh Van
bức tranh lãng,romantic painting
nghi lễ,Ritual
học sinh lớp,class student
dịch vụ bữa tối,dinner service
ly gạt tàn thuốc,ashtray cup
kim đồng hồ,clockwise
dưới biển,under the sea
khu sinh sống,living area
bực bội,annoyed
buu chau,buu chau
người dân thái địa phương,local Thai people
thuyền nguyên,original boat
dân gian,folk
người biểu diễn,Performers
buổi tập thái cực,tai chi session
đền ống,tube temple
miệng bánh flan,flan mouth
chợ nơi,market place
sữa milo,Milo milk
âm nhạc truyền thống,the traditional music
không gian xanh,green space
nếm thử ẩm thực địa,Taste local cuisine
thực vật,plants
khoai tây,potato
độ chi tiết,level of detail
khi việc,when work
nghệ thuật thuần,pure art
kênh siêu,super channel
nhân viên say xỉn,drunk employee
thủy điện,hydroelectric
trinh thu,virginity
chả giò tươi,fresh spring rolls
tôi tận,I take
vườn trà quế,cinnamon tea garden
mặt trăng,moon
bồn tắm,bathtub
trại,camp
ăn buffet,buffet
giao diện,display
đồ lặt,sundries
thủ thuật,tips
văn hóa dân tộc,native culture
shop trang trí,decoration shop
thợ may trẻ,young tailor
áo sơ mi trắng nhạt,light white shirt
vệ sinh thực phẩm,Food Hygiene
đứa,kid
chân nâu,brown legs
thuê xích lô,cyclo rental
văn hóa lịch sử,Cultural history
chậu,pot
sản phẩm chăm sóc da đến,Skin care products arrive
du lịch nước,water tourism
ngôi nhà làng,village house
khoa nguyên,original department
rượu mạnh,Brandy
phương pháp xoa bóp,massage method
thuon,thuon
hang động đá vôi,limestone cave
sông nước,River
chợ bánh chưng,banh chung market
vùng đất nông,shallow land
chuyến đi 13 đêm,13 night trip
cổng cảng,port gate
tour về,return tour
bãi cháy,Beach Fire
dầu nóng,hot oil
sản phẩm địa phương-đường,Local products-sugar
đài,radio
đỉnh nalay,nalay peak
lạt,salty
ngôi đền ẩn,hidden temple
chế độ xem,View mode
trà vn,Vietnamese tea
làng dân tộc thiểu,ethnic minority village
cầu tre,bamboo bridge
sửa mi,eyelash repair
hang động tự,cave self
sóc da mặt nơi,facial care place
súp chua,sour soup
nội tạng,viscera
vệ sinh siêu an,Super safe hygiene
island,island
tổng quan,overview
ngữ cảnh,context
tươi nhiệt,fresh heat
kích cỡ,size
hoa tự,flowers
chữ ẩn,hidden letters
quán karaoke,karaoke bar
tua máy,engine rewind
nhạc công,musician
thời tiết mát mẻ,cool weather
tham quan hang động,cave tour
điểm neo,anchor point
nhóm may,sewing group
cafe,cafe
tàu thủy thủ đoàn,crew ship
bằng,equal
hộp trưng bày,display box
người hướng dẫn ken,instructor ken
xe nước,water cart
bữa chính,main meal
ánh sáng giải trí,entertainment lighting
bờ biển cát trắng,white sand beach
mắt xanh,blue eyes
quầy hàng thực phẩm địa phương,Local food stalls
thác nước trâu,buffalo waterfall
người bản xứ,indigenous people
trị liệu của tôi,my therapist
điểm tương đồng,similarities
hệ thống nhìn chằm chằm,staring system
ban nhạc sống sôi,Hot live band
thanh,bar
lịch trình tham,tour schedule
đại lý địa phương,local agent
luật sư cà phê,Coffee lawyer
người hùng,hero
tưởng niệm,Memorial
cà vạt lụa,silk tie
cửa hàng bách hóa,convenient store
cho bấc,for wick
di tích đền chùa,temple relics
không gian nghệ thuật,art space
chuyến tham quan ẩm thực bí mật,secret food tour
bà nà,Ba Na
hầm,tunnel
gió nồng nồng,warm wind
kayaki,Kayak
ẩm thực huế,Hue cuisine
đồ may sẵn,ready-made clothes
quần áo liền quần,overalls
vâng thủy,yes Thuy
xe có wifi,The car has wifi
cạnh hyatt,next hyatt
dị ứng thực phẩm,food allergies
hàng rau muống đồ ăn,food spinach shop
đất nung,terracotta
dịch vụ lưu trú,Lodging
​​cầu thang,stair
váy váy,skirt skirt
tầm nhìn chỗ ngồi,seat visibility
khách sạn du lịch,tourist hotel
phòng hoàn hảo,perfect room
trạm tôn,corrugated iron station
nếm trà,Taste the tea
tươi sống thu hoạch,Freshly harvested
honda dream,honda dream
đắm tàu,shipwreck
vườn trái cây,fruit garden
chuyến dừng chân,stopover trip
chuyến đi 13 ngày,13 day trip
chỗ massage,massage place
kem dừa,coconut cream
lớp học chính,main classroom
gỏi,salad
luật pháp,law
ẩm thực ẩn,hidden cuisine
bãi chải,brush beach
người ăn thô,raw eater
đêm giao,delivery night
chuyến tham quan hội,Assembly tour
xe đón,pick up car
night,night
cà phê trứng ngon,delicious egg coffee
gian tham quan,sightseeing time
cà ri ấn độ,Indian curry
chuyến đi 16 đêm xuyên,16-night trip
hàng không,air
trang phục hàng,shop clothes
vé rải,scattered tickets
chose,chose
phòng ngừa,prevent
kiến ​​trúc pháp,France architecture
lớp vải,layer of cloth
siro,siro
quan núi ngũ hành sơn,Five Elements Mountain View
ốc sên,snail
kiến ​​thức kỹ thuật,technical knowledge
khách sạn địa phương,local hotel
thiết bị giải đấu,tournament equipment
dịch vụ đưa đón,shuttle service
cha,cha
trải nghiệm du ngoạn vịnh hạ,Experience a cruise in the lower bay
người lái xe vespa,vespa driver
áo khoác tuxedo,tuxedo jacket
hang bạc,silver cave
xe gắn máy ngựa,horse motorbike
vì sinh kế,for livelihood
dịch vụ may đo,tailoring service
sân có,yard yes
con gái,Daughter
đứa trẻ địa phương,local kid
bãi chài,fishing beach
bọt biển,sponges
bức tranh toàn cảnh,Panorama
hướng dẫn viên trẻ người địa phương,Young local tour guide
liên kết,link
đầu bếp nấu,chef cooks
nhạc mang thai,pregnancy music
chuyến đi từ,trip from
bọc,wrap
làng hoa sa,sa flower village
khởi hành nhân viên,Departing staff
techno,techno
bạn quyền,you right
bữa sáng trà sáng trà,breakfast tea morning tea
danh lam,places
áo đồ liền quần,overalls
mùa đông,winter
xe riêng,Private car
dj chơi nhạc,dj plays music
phòng nghỉ lòng,rest room
nghệ thuật gốm sứ,ceramic art
hoạt động địa,geo activities
trung tâm thờ,worship center
buổi sáng,morning
tour qua đêm,overnight tour
ghế đẩu,stool
đô huế,Do Hue
bảo người hướng dẫn,tell the instructor
từ trung,from the middle
tra su forest,between on forest
cặp kính râm,pair of sunglasses
thăng,promotion
chuyến đi điều,thing trip
chữ viết,writing
khu riêng,private area
chợ ngon,delicious market
chuyến đi lào,Laos trip
cửa hàng may,tailor shop
bóng chuyền,volleyball
vườn thực vật,botanical garden
bảo tàng tọa lạc,the museum is located
lăng vua,king&#39;s mausoleum
tom tram,tom tram
chủ đường may,seam master
món ăn chết người,deadly dish
gốm thái,Thai ceramic
xế lái xe,driver
ông chủ,boss
đường phố có,the street has
cuốn sổ tay,note book
câu mực,colt ink
sisha,we are new
kiểu thái,thai style
họ chăm,they care
lan,lan
thắp đèn,turn light
bàn massage,massage table
việt long,viet long
mật độ giao thông,traffic density
quận hoàn kiếm,Hoan Kiem District
cửa hang,cave
quýt,tangerine
khu chợ cổ,ancient market
- thực sự,- really
chờ lần,wait times
sông cạn,dry river
son người,human lipstick
và quấn,and wrap
chủ hộp đêm,nightclub owner
cà phê muối,salt coffee
xưởng sản,factory
đêm nghỉ,night off
chuyến đi hạ,lower trip
ẩm thực đi bộ chửi bới,Cuisine walking cursing
lướt đá,rock surfing
váy may sẵn,ready-made dresses
chuyến tham quan bằng xe máy,motorbike tour
dầu dừa,coconut oil
quản lý tom,manager tom
kỷ vật hội an,Hoi An souvenirs
loại vỏ địa,type of crust
chuyến tham quan mê,mesmerizing tour
hoạt động cơ,muscle activity
phô mai que,Cheese stick
đảo banana,banana island
điểm dừng chân xa,far stop
bánh bột lọc,bread flour
mát-xa của chúng,their massage
nhóm voọc,langur group
chủ thuyền rồng,dragon boat owner
cửa lớn,large door
bia ngon,good beer
nếp,sticky
rượu đó,that wine
âm nhạc truyền,Transmitted music
bảo tàng nơi đồ,Museum of furniture
thuyền tam cốc,Tam Coc boat
quê,countryside
nhà hàng thẩm mỹ,aesthetic restaurant
từ xuân,since spring
người việt nam,Vietnamese
karst,karst
khuyến,recommended
cà ri,what&#39;s up
động địa ngục,hell cave
phê nước mía,sugar cane juice
sét,lighting
vườn bạc hà,mint garden
chất lượng lụa,silk quality
mặt bắc,north face
mì xào,fried noodles
quán mì địa phương,local noodle shop
mát-xa tốt nhất,best massage
chuyền nhiệt đới mũ,tropical hat necklace
cơm chiên lá sen,lotus leaf fried rice
nghêu sốt me,clams with tamarind sauce
vận động nha trang,dental campaign
đảo titop,titop island
massage chân mộc,rustic foot massage
tượng bởi độ,represented by degrees
thai,thai
trung tâm hoạt động,hub
đầm nước,swamp
bãi biển bơi lội,swimming beach
áo len,sweater
người lái xe lạnh,cold driver
chuyến du lịch tây nguyên,Central Highlands tour
na chi,na chi
hậu duệ,descendants
mayu spa,river spa
đôi dép tông,flip flops
múa rối truyền thống,traditional puppetry
chuyến lặn,diving trip
khu phức hợp hồ chí minh,Ho Chi Minh complex
hoa nhài,jasmine
trẻ em nhà ăn,children&#39;s cafeteria
nhân viên bảo tàng,museum staff
chuyến đi mạo,adventure trip
vật dụng cá,fish paraphernalia
con phố mua sắm,shopping street
dinh độc lập,Independence Palace
nhân viên mát-xa chu đáo,Attentive masseuse
đồ ăn phục,costume food
chuột xâm nhập,mouse invasion
đều hữu,all exist
của sam,Sam&#39;s
súp salad,sup salad
chuyến đi săn đồ ăn,food hunting trip
trạm thư giãn,relaxation station
giá phải trả,price to pay
đồ ăn truyền thống,traditional food
áo liền quần,Jumpsuit
điểm sơn,paint point
mát-xa theo nhu,massage as needed
lọ vỡ,broken bottle
sưu tập gốm sứ,ceramic collection
mì là,noodles are
le theater,le theater
đại sứ địa phương,local ambassador
sô cô la với,chocolate with
ốc quế,cinnamon cone
bộ đồ sang,luxury outfit
con tôm tôm hùm,lobster shrimp
cả cũ,both old
áo khoác nhẹ,light jacket
khu sầm,dark area
đường chân,foot line
chuyến đi bốn ngày,four day trip
chợ bằng taxi,market by taxi
nhà thờ gà,chicken church
nhân viên phục,uniform staff
phòng may,sewing room
bộ đồ vest,vest suit
áo sơ mi dài,long shirt
lắp đặt,installation
nhà hàng ý,Italian restaurant
- tết nguyên đán,- Lunar New Year
ban nhạc,band
cảnh đường phố,street scene
cho dù,even though
bai tu,bai tu
chuyến đi sang,trip to
dịch giả hướng,translator direction
trung tâm dạy nấu ăn,cooking center
chuyến tham quan hang động đảo,island cave tour
cà phê thượng nguyên,highland coffee
đềm nhạc,music
hướng dẫn kiêm nhà tổ,guide and ancestral house
trang trại chanh dây,passion fruit farm
thịt gà,chicken
phục hồi,recover
thượng lưu,upstream
công viên tao đàn,Tao Dan Park
người quản lý hành trình,cruise manager
cho hàng da,for leather goods
xe buýt công,public bus
kỳ nghỉ việt nam,Vietnam holiday
bao loc,how long
đất nước lịch sử,historical country
gia huy,family crest
quầy hàng thủ công,craft stalls
dọn phòng,Clean the room
hang múa,dancing cave
ho,to
gốm vỡ,broken ceramic
giày làm sẵn,ready-made shoes
trang sức,jewelry
sản phẩm dệt thủ,handwoven products
túi du lịch,travel bags
lành mạnh,healthy
cột treo,hanging column
hiệp sĩ,Knight
đồ uống đông,frozen drinks
bông hoa tàn,withered flower
đi uống nước,go drink water
biểu tượng tháp,tower icon
bún chín,cooked noodles
ống nước,water pipe
vải cashmere,cashmere fabric
trang trại bún gạo,rice vermicelli farm
​​cat ba kayak,cat ba kayak
nghi thức,ceremony
hoàng cung,Palace
tiệm,shop
hám,greedy
chỗ thì,spot
người chủ nhà,landlord
thuyền lặn,diving boat
bụi cây,Bush
chuyến thăm chùa,temple visit
bức sơn,painting
ao lớn,big pond
núi hoàng liên sơn,Hoang Lien Son mountain
tổng thể,overall
chợ sa,sa market
bánh khoai cơm ngon,delicious rice cake
chuyến đi hai đêm,two night trip
nghệ thuật nhiếp,photography art
chân khi chúng,feet upon them
công ty địa phương,local company
thịt bò cay,spicy beef
nhà nghỉ trà vinh,Tra Vinh Guesthouse
đồng có,yes
họ đã,they did
bồi,waiter
điểm dừng du lịch,travel stop
ngón tay,finger
bé khi,baby when
catba,Catba
bia giá,beer prices
núi cẩm,Cam mountain
lẽ ra,should have
đôi giày sân,court shoes
nhóm,group
ghế massage,massage chair
lắng,settle
hàng trang sức giá cả,jewelry prices
bài hát là,song is
túi qua đêm,overnight bag
cái bụng,stomach
khu di tích mỹ sơn,My Son relic
thái hạt lựu,diced
bánh mì kẹp thịt tự,Self burgers
studio long,studio long
khách sạn khu nghỉ dưỡng,resort hotel
đồ ăn cà phê,Coffee food
mật khẩu,password
ba món,good world
trung tâm vùng đồng bằng,center of the plain
bức tượng đức phật,Buddha statue
đường thuyền,boat road
âm,minus
món ăn chính thống,authentic dish
khu sinh thái,ecological zone
rượu rắn,snake wine
cây trà,tea tree
chiến thuật bán hàng,sales tactics
cây sơn mài,lacquer tree
​​núi,mountain
phương tiện hạng,class means
làng tả van,Ta Van village
tận tâm,conscientious
cơm đến,rice arrives
bộ phận họ,family part
đồ ăn uống bia,food and beer
cánh đồng lúa đường,sugar rice fields
thờ phượng,worship
khi trekking,khi trekking
chuyến di,trip
vụ tuyệt,Great job
hòa nguyện,peace of mind
nha cho,please
​​nhân viên,staff
bữa tiệc hoàng hôn,sunset party
tại pink,at pink
trắng về,white
mâm xôi phóng,raspberry launcher
hoạt động đã chật,activity was tight
lan can,lan can
chủ lucky,lucky owner
đội kim cương,diamond team
màu hoa,flower color
con khỉ hoang dã,wild monkey
cuộc triển lãm,show
nhân viên trị liệu,therapy staff
cuộc sống người,human life
chó lang thang,wandering dog
cafe phố cổ,old town cafe
- áo,- shirt
chuyến đi ngắn ngày,short trip
vũ trường,dance hall
giờ ăn trưa,lunch time
họ khi điều,them when things
núi khỉ núi đá cẩm thạch sông hàn,monkey mountain han river marble mountain
chất lượng thủ,quality craftsmanship
đồ nghệ thuật,art items
massage toàn,Full massage
chai lọ,bottle
cà ri khoai tây,potato curry
bột trắng -,white powder -
hùng người,heroic person
bún bò khô,dried beef noodles
lái xe giang,driving a motorbike
đầu bếp trần,bare chef
lớp học làm gốm,pottery class
bữa trưa đóng,closed lunch
người thợ thêu,embroiderer
bình vỡ,broken bottle
thư giãn tuyệt vời,Great relaxation
rượu mận,plum wine
của họ,their
chuyên biệt,specialized
kiến ​​thức chi tiết,detailed knowledge
gốm,ceramic
lịch sử phong,leprosy history
ngăn,compartment
kho lưu trữ,archive
bác sĩ trị,doctor
người dân việt nam,Vietnamese people
nông sản cá,fish agricultural products
chút sương,some dew
thịt tôm,shrimp meat
bia đó,That beer
thị trấn hội an,Hoi An town
ngọt,sweet
rãnh nước,gutter
với hương,with incense
tập tin,file
ẩm thực ngon lành,delicious food
khăn cashmere,cashmere scarf
núi tour,mountain tour
chất độn,filler
phở bò tôm tươi,fresh shrimp beef pho
lịch sử mỹ sơn,My Son history
bánh tráng đến,Rice paper arrived
lớp gốm,ceramic layer
chuyến đi bộ xuyên rừng,trekking
món thứ,the second dish
khu làng,village area
nút chai,stopper
bữa tiệc trà,tea party
cà phê dừa đá,iced coconut coffee
trà sự,tea event
adventure,adventure
vũ đạo cảnh,scene choreography
tượng ngụ,living statue
rác biển,marine trash
nghi lễ cấp nhà nước,state ceremonies
bàn tay,hand
tour vườn quốc gia bạch,Bach national park tour
dòng,current
du lịch sam,sam travel
combo gel,combo gel
áo khoác ống quần thon gọn,slim fit jacket
thiết bị lặn,diving equipment
thuốc,medicine
tiết đông,winter weather
hướng dẫn viên du lịch hoàng,royal tour guide
thịt may,meat
- cotton,- cotton
thợ may tường,wall tailor
hàng thêu,embroidery
hàng bán hàng,sales goods
độ mềm,softness
tòa nhà thuộc địa,colonial buildings
đất sét,clay
con dâu,daughter-in-law
phòng thì,room then
buổi tư vấn,consulting session
bánh pizza,Pizza
mì thử,try noodles
opera,opera
gelatin,gelatin
chuyến tham quan bằng mô,tissue tour
phố tơ lụa,Silk Street
đội xe scooter,scooter fleet
cồn cát trắng,white sand dunes
phí bảo hiểm,insurance fees
bà,grandma
cả dưỡng da,even skin care
mai chau,tomorrow
gốm chạm,carved ceramic
quần áo may,sewing clothes
đồ ăn ngon biển,delicious sea food
vùng đất xa,distant land
cựu chiến binh,veteran
bàn thờ tổ tiên kiểu trung hoa,Chinese style ancestral altar
virus,virus
địa điểm non edm,non-edm location
sinh tố,smoothie
hệ động thực vật,flora and fauna
số đĩa,disc number
chân nhưng tôi,legs but me
bản nhạc dân gian,folk music
phương án,plan
sống địa,live on land
cho lũ,for the flood
nhà sản xuất đồ da,leather goods manufacturer
giường massage,massage bed
biển vest,vest sea
túi đeo chéo,crossbody bag
bộ vest họ may,the suit they made
du lịch xuyên,cross travel
hoàng làm,royal
thủ đô ẩm thực,culinary capital
thợ lặn,diver
trang phục nghệ thuật,art costumes
bữa tối kiểu việt,Vietnamese dinner
phố hoa,flower Street
thuyền vịnh,bay boat
bộ đồ 2,suit 2
ngôi nhà nghệ thuật,art house
món sa mạc đồ uống,drinks deserts
đỉnh fanxipan,Fansipan peak
phức hợp di sản,heritage complex
văn hóa miền nam,southern culture
chuyến tham quan ẩm thực đi bộ ba giờ,three-hour walking food tour
góc nhìn từ,perspective from
chậu vỡ,broken pot
bún bao,bun bao
đại úy hùng,captain hero
nhà máy ngọc,jade factory
là,To be
​​cảnh,scene
trang thật,real page
công cụ,tools
đơn cocktail,cocktail menu
cửa hàng bán lẻ,Retail store
túi thức ăn,food bag
ngon miệng,delicious
ống thở,breathing tube
từ van,from valve
chuyến đi 14 ngày,14 day trip
com,com
lò nung,furnace
family,family
thịt hamburger,hamburger meat
số đo,measurement
câu chuyện quá khứ,past story
tấm nệm,mattress
thống,system
giao dịch chuyển khoản,transfer transaction
cây cầu qua,bridge over
salad giòn,Crispy salad
điểm thu hút,attraction
ly bia tươi,glass of fresh beer
gạch trang trại dừa,coconut farm bricks
phương pháp canh,soup method
sẵn giày,shoes available
chuỗi đường phố,street chain
văn hóa tham quan,sightseeing culture
xuống nước,into the water
chơi nhạc,play music
a,a
ứng,response
massage vai,vai massage
chiếc ủng,the boots
xe đạp trek,trekking bike
kiến ​​trúc kiểu pháp,French-style architecture
tấm vải che,shroud
thờ cúng chức năng,functional worship
quản lý nhà hàng,Restaurant manager
công nhân vận chuyển,transportation workers
mít,have
chợ nổi mê kông,Mekong floating market
rào chắn,fence
halong,Halong
khu rừng địa phương,local forest
cà chua,tomato
giao lưu,exchange
nghệ thuật du lịch,travel art
cho ăn bởi,fed by
ẩm thực thịnh,popular cuisine
nhiên liệu,fuel
pong,pong
nhà thờ đức,German church
nhạc cụ,musical instrument
và trị,and treat
tấm thảm,carpet
rau tươi,fresh vegetable
hướng dẫn người luôn,always guide people
thị trường địa phương,local market
quản lý xuất nhập cảnh,Immigration management
dòng sông nước hoa,river of perfume
con phố bán hàng,sales street
ẩm thực đường phố bằng,street food by
quãng,interval
bánh mì cuộn,bread rolls
cá mú,grouper
dịch vụ bưu kiện,parcel service
túi cú,owl bag
trợ,support
bánh kếp chuối,banana pancakes
mì ống,the pasta
bedroom,bedroom
tour đồng bằng sông cửu long,Mekong Delta tour
hành trình chuyến đi,trip itinerary
nhà vua,King
tica,ethics
tay đua xe đạp giỏi,good cyclist
khu phố -,Town -
đội ngũ nấu ăn,cooking team
thực dân pháp,French
chính sách giá,price policy
đó thì giao thông,That&#39;s traffic
pu luong,pu luong
công việc kinh doanh,business work
món ăn ấn độ,Indian food
rau muống,spinach
hoài,always
trái cây rượu rắn,solid wine fruit
anh hùng,hero
tráng,coated
hàng da,leather goods
nhà hàng ẩm thực địa phương,local cuisine restaurant
chuyến bay gian,space flight
tour to nha trang,tour to nha trang
chiến lược,strategy
thụy điển,Sweden
giờ khuyến mãi,happy hour
quần áo nam,Men clothes
chuyện đùa,joke
khác trước khi trở,different before returning
trai cay,take cay
- gà bbq,- bbq chicken
bơ,butter
tiệm may lamy,lamy tailor shop
xe tham quan,sightseeing car
ngôi nhà địa phương,local house
vận chuyển hàng,shipping
đề xuất,propose
bánh mì nướng gà,Chicken toast
kích,click
phi nước,galloping water
đường dây,line
cà phê trứng trang trí,Decorative egg coffee
bánh cuốn thịt,meat rolls
tưới nước cắt hoa…,watering cut flowers
phát đạn,shot
bac,bac
kiểu việt,Vietnamese style
nền,background
viên chuyến tham,tour guide
cầu treo,suspension bridge
nóc nhà đông,east roof
điện thái hòa,Thai Hoa palace
vị giác,taste
áo chọn màu mới,New color shirt
loại dầu dưỡng thể,body oil
mặt trắng ăn,White face eats
chuyến đi khách sạn,hotel trip
hóa,chemistry
sông nước hoa,perfume river
bánh quy địa phương,local cookies
ngũ nhân viên,staff
ông vien,Mr. Vien
khu nghỉ dưỡng sinh thái,ecological resort
phong cách truyền thống,traditional style
mia phoebe,my phoebe
áo mưa mũ bảo hiểm,raincoat and helmet
chân và sơn,legs and paint
mùi nước hoa,perfume smell
sky,sky
đồ uống siêu ngon,Super delicious drinks
rạn san hô,Coral reef
họ nấu ăn,they cook
khăn tắm xà,bath towel
vườn quốc gia phong nha,decent national park
từ giá đỡ,from the stand
cánh đồng lúa bậc,terraced rice fields
fan,fan
hành trình chật cứng,packed itinerary
tom người,tom people
giường cỡ,bed size
ảnh đêm,night photo
núi chứa chan,mountains are abundant
nguồn sinh kế,source of livelihood
nhà máy nội bộ,internal factory
bữa tiệc karaoke,karaoke party
khách sạn the anam,the anam hotel
lỗ thở,breathing hole
người hướng dẫn dẫn,the instructor leads
cà phê vinh quang,glorious coffee
chuyến đi hoa,flower trip
trường dạy nấu ăn mũi,nose cooking school
bộ lạc dân tộc,ethnic tribe
chuyến đi 6 ngày,6 day trip
tử,death
áo khoác bằng da,leather jacket
ly socola nóng,cup of hot chocolate
cây cầu dẫn,leading bridge
hướng dẫn viên du lịch địa phương,local tour guide
xe là,car is
dân ca kẹo dừa,coconut candy folk songs
thịt lợn nướng vừng,grilled pork with sesame
đèo bằng xe máy,motorbike pass
tơ lụa,silk
khu hoa,flower area
vườn nho,vineyard
công viên bạch mã,white horse park
trang trại cá nhà nổi,floating fish farm
nhân viên ăn uống điều phối viên,Food and beverage coordinator
xe máy xuyên,cross motorbike
wi-fi,wi-fi
sả,lemongrass
ẩm thực văn hóa và lịch sử,cultural and historical cuisine
chuyển nghệ thuật sang,transfer art to
ki-ốt,kiosk
chân sáu,foot six
vật phẩm quan,official items
party,party
buổi thử,test session
kho báu,treasure
hóa đơn đồ uống,drink receipt
núi bạch mã,white horse mountain
bánh xèo cơm,rice pancakes
email,email
vật dụng vệ sinh,cleaning supplies
rửa bát,dish washing
thị trấn đồng văn,Dong Van town
the suit,the suit
loại giày,shoe type
món dừa,coconut dish
ken,ken
tam giác mạch,vascular triangle
thức ăn chỗ ở,food and accommodation
áo bóng đá,football shirt
lang băm địa phương,local quack
rốt mộc nhĩ,wood ear root
làng thủ,villager
chim săn mồi,bird of prey
facebook,facebook
tráng lệ lăng,magnificent mausoleum
bữa ăn 3 món,3 course meal
con trăn,Python
phim,movie
mát-xa vì,massage because
thực phẩm bán,food for sale
gốm sứ địa phương,local ceramics
nguồn thủ công,manual source
đồng nghiệp,colleague
khoai tây chiên kiểu,French fries
bánh từ,word cake
tour du lịch bằng,tour by
người lái xe lái xe,driver driving
số hàng,row number
kiến thức lịch sử,historical knowledge
cho đầu bếp,for chef
kho báu tráng lệ,magnificent treasure
âm nhạc cũng,music also
suv,suv
tour đêm,night tour
đoán,guess
dịch vụ mát-xa chân tuyệt,Great foot massage service
hướng dẫn thiểu số,minority guide
chiếc xích lô,cyclo
liệu pháp mát-xa chân chân cánh tay,Foot and arm massage therapy
menu,menu
kiệt tác,masterpiece
​​phi hành đoàn,crew
đến việt,come to Vietnam
chuyến thăm làng chài,fishing village visit
viên hướng,guide
cửa hàng đóng giày,shoe store
kinh tế,economy
chiến lược chiến,war strategy
bartender,bartender
dừng thực phẩm,stop food
công chúa biển cả,sea ​​princess
hoạt động từ,word activity
bữa sáng có phở,Breakfast includes pho
tour xe,car tour
cây cầu bàn tay vàng,Golden hand bridge
chân miễn phí,Free legs
chuyến trở,return trip
decor view,decor view
phương tiện di chuyển khách sạn,Hotel transportation
dịch vụ massage chân,Foot massage service
chuyến phiêu,adventure
bà nà núi,Ba Na Mountain
đồ ăn halal,halal food
chuyến bay nội địa,domestic flights
người hầu,maid
áo dài truyền thống,traditional dress
hướng dẫn viên ken,tour guide ken
choung,choung
hạt trái cây,fruit seeds
thả diều quốc,fly national kites
tàu hỏa máy bay,airplane train
hoa chợ,market flowers
ẩm thực bằng xe xích lô,Cuisine by cyclo
bia hà,beer ha
quan binh ngựa,horse officers
le theatre,le theatre
giày duć,duć shoes
hướng dẫn viên sam,tour guide sam
di tích chiến tranh,War relic
nhà xoài,mango house
bộ đồ mới,new suit
cuốn sổ biên,boundary book
ngôi chùa trung quốc ẩn giấu,Hidden Chinese temple
rác thải,waste
chuyến đi 2 ngày,2 day trip
cây gai dầu,hemp
bắc trang,Bac Trang
sơn móng tay,nail polish
túc xá,dormitory
dịch vụ hướng dẫn du lịch,tour guide service
chả giò tôm,Spring rolls shrimp
bản in,print
bếp nấu ăn,cooking stove
văn hóa người dân địa,local people&#39;s culture
bánh cuốn,rolls
hau,this
ông già noel,Santa Claus
văn hóa làng chài mũi,Cape fishing village culture
trường dạy đánh cá,fishing school
đường đi bộ,walking path
bánh bột gạo,rice cakes
vụ ăn uống và,Catering and
ca sáng,morning shift
bão táp,storm
màu gel,gel color
lẩu bbq,lẩu bbq
size,size
dãy núi đá cẩm thạch,marble mountains
người xe ôm,motorbike taxi driver
cửa hàng giày,shoe store
nhất mà tôi,most that me
hãng,the firm
thợ lặn mới,new diver
lưu thông không khí,air circulation
thác draysap,draysap waterfall
chợ nổi bún,noodle floating market
đỉnh,top
chương trình giải trí âm nhạc,musical entertainment program
tonle sap,tone stem
khe,khe
000đ,000 VND
tác hút,suction effect
